id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,precision_per_class,recall_per_class,mAP_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,mouth not visible,feeding,charging,being charged,cturn
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.45279762148857117,0.1421446055173874,0.3923746347427368,0.13455283641815186,0.5352173447608948,0.1702837198972702,0.14432242512702942,0.9427754878997803,"[0.5244107246398926, 0.18631228804588318, 0.0, 0.0, 0.0]","[0.4175766408443451, 0.2551874816417694, 0.0, 0.0, 0.0]","[0.7047045230865479, 0.14671410620212555, 0.0, 0.0, 0.0]","[0.5324729681015015, 0.18677839636802673, -0.0, 0.0016368665965273976, 0.0007238413672894239]","[11287, 4778, 0, 70, 36]",0.4572107791900635,0.3553615212440491,0.39710941910743713,0.33638206124305725,0.5387488603591919,0.4257093071937561,0.3596256971359253,0.8594622015953064,0.0,0.0,0.0,0.0,0.0,0.0,0.0011803540401160717,0.9974764585494995,"[[50731, 3333], [11094, 7954]]","[[66288, 4077], [2046, 701]]","[[73112, 0], [0, 0]]","[[72797, 70], [245, 0]]","[[73058, 36], [18, 0]]"
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.4408503472805023,0.14174076914787292,0.35592639446258545,0.13400650024414062,0.5789994597434998,0.1870686262845993,0.1420040875673294,0.9350284337997437,"[0.49567872285842896, 0.20757554471492767, 0.0, 0.00544959120452404, 0.0]","[0.3672572076320648, 0.29940828680992126, 0.0, 0.003367003286257386, 0.0]","[0.7622042894363403, 0.15885308384895325, 0.0, 0.014285714365541935, 0.0]","[0.5106996297836304, 0.1965286135673523, -0.0, 0.002389431931078434, 0.0004027720424346626]","[11287, 4778, 0, 70, 36]",0.4455443322658539,0.3516271412372589,0.3606317341327667,0.33333274722099304,0.5827575325965881,0.4605286717414856,0.35361412167549133,0.8406485915184021,0.0044247787445783615,0.00272479560226202,0.0028901733458042145,0.001683501643128693,0.009433962404727936,0.0071428571827709675,0.0013961020158603787,0.9969225525856018,"[[47003, 2684], [14822, 8603]]","[[66558, 4019], [1776, 759]]","[[73112, 0], [0, 0]]","[[72746, 69], [296, 1]]","[[73027, 36], [49, 0]]"
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.2910727262496948,0.11807245761156082,0.23165138065814972,0.09808188676834106,0.3914962112903595,0.15957458317279816,0.09683909267187119,0.9125205278396606,"[0.35645389556884766, 0.2330167591571808, 0.0, 0.0008916629594750702, 0.0]","[0.323138028383255, 0.1668110191822052, 0.0, 0.0004604051646310836, 0.0]","[0.39742931723594666, 0.3863590657711029, 0.0, 0.014084506779909134, 0.0]","[0.3204337954521179, 0.1603817641735077, -0.0, 0.002258183201774955, 0.0011217440478503704]","[11670, 4985, 0, 71, 43]",0.3085021376609802,0.294735312461853,0.2534460723400116,0.2449745237827301,0.3941158950328827,0.3918941915035248,0.2404077798128128,0.7987608313560486,0.0007827788940630853,0.0004458314797375351,0.0004096681659575552,0.0002302025823155418,0.008771929889917374,0.007042253389954567,0.0016899636248126626,0.982540488243103,"[[51727, 7032], [9715, 4638]]","[[58507, 3059], [9620, 1926]]","[[73112, 0], [0, 0]]","[[70870, 70], [2171, 1]]","[[72800, 43], [269, 0]]"
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.32778868079185486,0.1294458657503128,0.21294213831424713,0.08649687469005585,0.7115510702133179,0.2861884832382202,0.1131945252418518,0.8661259412765503,"[0.4256235659122467, 0.22024057805538177, 0.0, 0.0013651876943185925, 0.0]","[0.30068644881248474, 0.13108056783676147, 0.0, 0.0007173601188696921, 0.0]","[0.7281919717788696, 0.6886659860610962, 0.0, 0.014084506779909134, 0.0]","[0.3832838237285614, 0.1793319433927536, -0.0, 0.002432736102491617, 0.0009241162333637476]","[11670, 4985, 0, 71, 43]",0.3355787694454193,0.32293206453323364,0.2191104143857956,0.2158835083246231,0.7163614630699158,0.7084289789199829,0.2813078761100769,0.6768998503684998,0.001179245300590992,0.0006825938471592963,0.0006321112741716206,0.00035868005943484604,0.008771929889917374,0.007042253389954567,0.0016784261679276824,0.9884150624275208,"[[41678, 3172], [19764, 8498]]","[[45370, 1552], [22757, 3433]]","[[73112, 0], [0, 0]]","[[71648, 70], [1393, 1]]","[[72881, 43], [188, 0]]"
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.32785966992378235,0.13970164954662323,0.22876009345054626,0.11095079779624939,0.5784428715705872,0.23250362277030945,0.0997718945145607,0.8950842618942261,"[0.4090234041213989, 0.20022867619991302, 0.0, 0.01652892492711544, 0.072727270424366]","[0.30177390575408936, 0.12810908257961273, 0.0, 0.019607843831181526, 0.10526315867900848]","[0.6345353126525879, 0.4581414759159088, 0.0, 0.014285714365541935, 0.0555555559694767]","[0.3426983952522278, 0.1371469795703888, -0.0, 0.010058269836008549, 0.00895581766963005]","[11287, 4778, 0, 70, 36]",0.3287685811519623,0.3046260476112366,0.22907888889312744,0.21494150161743164,0.5820728540420532,0.5463383793830872,0.2399226874113083,0.7388732433319092,0.034090910106897354,0.04462809860706329,0.04285714402794838,0.06243550032377243,0.028301887214183807,0.03492063656449318,0.009507043287158012,0.998837411403656,"[[45254, 4125], [16571, 7162]]","[[53436, 2589], [14898, 2189]]","[[73112, 0], [0, 0]]","[[72992, 69], [50, 1]]","[[73059, 34], [17, 2]]"
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.02265765704214573,0.027485478669404984,0.013544987887144089,0.06359000504016876,0.06924090534448624,0.18389715254306793,0.053709518164396286,0.7198423743247986,"[0.12922920286655426, 0.005303317215293646, 0.0, 0.002894879784435034, 0.0]","[0.20712502300739288, 0.109375, 0.0, 0.0014499904355034232, 0.0]","[0.09391103684902191, 0.0027175419963896275, 0.0, 0.822857141494751, 0.0]","[0.18283817172050476, 0.08386474847793579, -0.0, 0.001844666781835258, -0.0]","[43275, 18031, 0, 175, 0]",0.1010875552892685,0.06726626306772232,0.20494294166564941,0.15825000405311584,0.06708968430757523,0.04831428825855255,0.13335146009922028,0.8604964017868042,0.0009782874258235097,0.001447439892217517,0.0004894346930086613,0.0007249952177517116,0.822857141494751,0.4114285707473755,0.000922333390917629,0.43910959362983704,"[[203344, 39211], [15557, 4064]]","[[243746, 17982], [399, 49]]","[[262176, 0], [0, 0]]","[[162834, 31], [99167, 144]]","[[67270, 0], [194906, 0]]"
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.39671871066093445,0.2072286307811737,0.2935175895690918,0.15748414397239685,0.6118436455726624,0.3464527726173401,0.20918412506580353,0.9142985939979553,"[0.4971531629562378, 0.28397035598754883, 0.0, 0.16271185874938965, 0.0923076942563057]","[0.42959457635879517, 0.18009504675865173, 0.0, 0.1071428582072258, 0.07058823853731155]","[0.5899255871772766, 0.6709766983985901, 0.0, 0.3380281627178192, 0.13333334028720856]","[0.46577540040016174, 0.26442766189575195, -0.0, 0.29264694452285767, 0.023070700466632843]","[11693, 5027, 0, 71, 45]",0.39882731437683105,0.3905617594718933,0.2952624559402466,0.30484479665756226,0.6142942309379578,0.6304511427879333,0.36510151624679565,0.7882426977157593,0.1411764770746231,0.12750977277755737,0.09708737581968307,0.08886554837226868,0.2586206793785095,0.23568075895309448,0.15785881876945496,0.9975038170814514,"[[52260, 4795], [9159, 6898]]","[[52729, 1654], [15356, 3373]]","[[73112, 0], [0, 0]]","[[72841, 47], [200, 24]]","[[72988, 39], [79, 6]]"
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.3847367465496063,0.19809433817863464,0.2514830231666565,0.13742610812187195,0.8183653950691223,0.3987851142883301,0.21970276534557343,0.8794534206390381,"[0.4914166331291199, 0.25633662939071655, 0.0, 0.24271844327449799, 0.0]","[0.3499220013618469, 0.15202340483665466, 0.0, 0.18518517911434174, 0.0]","[0.8250235319137573, 0.8167893290519714, 0.0, 0.35211268067359924, 0.0]","[0.5237761735916138, 0.2710167467594147, -0.0, 0.29841604828834534, 0.005304896738380194]","[11693, 5027, 0, 71, 45]",0.3857892155647278,0.3738766312599182,0.2519879937171936,0.2509726881980896,0.8225478529930115,0.820906400680542,0.397396445274353,0.7005142569541931,0.1538461595773697,0.12135922163724899,0.11961722373962402,0.09259258955717087,0.21551723778247833,0.17605634033679962,0.15186047554016113,0.9981192946434021,"[[43497, 2046], [17922, 9647]]","[[45182, 921], [22903, 4106]]","[[73112, 0], [0, 0]]","[[72931, 46], [110, 25]]","[[72993, 45], [74, 0]]"
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.3993907570838928,0.11353986710309982,0.3671627938747406,0.12177877128124237,0.43782079219818115,0.1331302672624588,0.11239746958017349,0.941749632358551,"[0.46450284123420715, 0.10319649428129196, 0.0, 0.0, 0.0]","[0.37929099798202515, 0.2296028882265091, 0.0, 0.0, 0.0]","[0.5990962982177734, 0.06655504554510117, 0.0, 0.0, 0.0]","[0.42703691124916077, 0.13281568884849548, -0.0, 0.0013941036304458976, 0.0007406080840155482]","[11287, 4778, 0, 70, 36]",0.40138331055641174,0.28384965658187866,0.3685005009174347,0.3044469356536865,0.4407096207141876,0.3328256607055664,0.2799263000488281,0.8555777668952942,0.0,0.0,0.0,0.0,0.0,0.0,0.001067355857230723,0.9987963438034058,"[[50759, 4525], [11066, 6762]]","[[67267, 4460], [1067, 318]]","[[73112, 0], [0, 0]]","[[72980, 70], [62, 0]]","[[73068, 36], [8, 0]]"
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.39397087693214417,0.11368235945701599,0.33367663621902466,0.12249703705310822,0.48086079955101013,0.1468389630317688,0.11172284185886383,0.9345579147338867,"[0.44638118147850037, 0.1220305860042572, 0.0, 0.0, 0.0]","[0.33836236596107483, 0.27412280440330505, 0.0, 0.0, 0.0]","[0.6557101011276245, 0.07848472148180008, 0.0, 0.0, 0.0]","[0.4112078845500946, 0.1454983651638031, -0.0, 0.0011972689535468817, 0.0007106736302375793]","[11287, 4778, 0, 70, 36]",0.395664781332016,0.2842058837413788,0.3345811367034912,0.30624258518218994,0.48403361439704895,0.367097407579422,0.27835312485694885,0.8375505805015564,0.0,0.0,0.0,0.0,0.0,0.0,0.0009539712918922305,0.9988442659378052,"[[47353, 3886], [14472, 7401]]","[[67341, 4403], [993, 375]]","[[73112, 0], [0, 0]]","[[72982, 70], [60, 0]]","[[73073, 36], [3, 0]]"
