backbone,sliding_style,sampler,mAP,f1_macro,acc,biting_f1_macro,biting_mAP,biting_acc,aggression_f1_macro,aggression_mAP,aggression_acc
dino,frames,balanced,0.090046152472496,0.1168959364295005,0.926141083240509,0.2915235161781311,0.2235739827156067,0.8260921239852905,0.0007163324044086,0.0015413863584399,0.9892605543136596
dino,frames,random,0.0989719778299331,0.0407372415065765,0.9610862731933594,0.1018431037664413,0.2467226386070251,0.9032050371170044,0.0,0.0007073151646181,0.9995105862617492
dino_large,frames,balanced,0.0957136154174804,0.1249347329139709,0.931914210319519,0.3093428015708923,0.237265259027481,0.840512216091156,0.0029940120875835,0.0020187543705105,0.9892732501029968
dino_large,frames,random,0.1003793105483055,0.03654221072793,0.9602555632591248,0.09135552495718,0.2502596080303192,0.9012625217437744,0.0,0.0006886644405312,0.9993763566017152
dino,frames_w_temp,balanced,0.0918455868959426,0.1159212738275528,0.923707902431488,0.2898032069206238,0.2280533611774444,0.8214565515518188,0.0,0.0015606245724484,0.9878132343292236
dino,frames_w_temp,random,0.0985216200351715,0.0398235693573951,0.9609240293502808,0.0995589196681976,0.2455104887485504,0.9027995467185974,0.0,0.0007935556350275,0.9995105862617492
dino_large,frames_w_temp,balanced,0.0973801836371421,0.1287968456745147,0.9269388318061828,0.3169795870780945,0.2411252558231353,0.826992928981781,0.005012531299144,0.0023251939564943,0.9903542399406432
dino_large,frames_w_temp,random,0.0987173393368721,0.0354255139827728,0.9603192806243896,0.088563784956932,0.246099516749382,0.9014219045639038,0.0,0.0006938194273971,0.9993763566017152
videomae,sliding_window,balanced,0.0901084095239639,0.081474594771862,0.9121977090835572,0.1885349750518798,0.1486192941665649,0.7811394333839417,0.0151515156030654,0.0766517519950866,0.9993547797203064
videomae,sliding_window,random,0.0626841038465499,0.0,0.9604834318161012,0.0,0.1557046473026275,0.9018606543540956,0.0,0.0010056067258119,0.9993478655815125
videomae,sliding_window_w_stride,balanced,0.0789849385619163,0.0819644033908844,0.9175313115119934,0.204911008477211,0.1588718146085739,0.7944804430007935,0.0,0.0385905429720878,0.9993478655815125
videomae,sliding_window_w_stride,random,0.06285210698843,0.0,0.9604834318161012,0.0,0.1562538743019104,0.9018606543540956,0.0,0.0008763975347392,0.9993478655815125
videomae,sliding_window_w_temp,balanced,0.0926563665270805,0.0746669396758079,0.9317478537559508,0.1574340462684631,0.1552752405405044,0.8460615277290344,0.0292332973331213,0.0763656795024871,0.9833081364631652
videomae,sliding_window_w_temp,random,0.0645405203104019,0.0,0.9604834318161012,0.0,0.1545176208019256,0.9018606543540956,0.0,0.0068336832337081,0.9993478655815125
