id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,mAP,f1_per_class,precision_per_class,recall_per_class,positive_per_class,mAP_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,biting_mAP,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,aggression_mAP,mouth not visible,feeding,charging,being charged,cturn
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.999999995,0.14229346811771393,1.0,0.095136359333992,1.0,0.295359343290329,0.9535260796546936,0.18918900191783905,"[0.46752167138698025, 0.24394565832868084, 0.0, 0.0, 0.0]","[0.3253359794616699, 0.1503458321094513, 0.0, 0.0, 0.0]","[0.8304743766784668, 0.6463223695755005, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.5044974088668823, 0.4403989017009735, -0.0, 0.0008194337133318186, 0.00022921350318938494]",0.999999995,0.3557336628437042,1.0,0.2378409057855606,1.0,0.7383983731269836,0.885955810546875,0.4724481701850891,0.0,0.0,0.0,0.0,0.0,0.0,0.9978594779968262,0.0005243236082606018,"[[52799, 1265], [12851, 6197]]","[[70139, 226], [2334, 413]]","[[73112, 0], [0, 0]]","[[72825, 42], [245, 0]]","[[73086, 8], [18, 0]]"
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.999999995,0.14359384775161743,1.0,0.09270314872264862,1.0,0.3216511607170105,0.9440009593963623,0.19292113184928894,"[0.4224430887996068, 0.29552615684160166, 0.0, 0.0, 0.0]","[0.2785058617591858, 0.18500986695289612, 0.0, 0.0, 0.0]","[0.8742964267730713, 0.7339593172073364, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.4824105501174927, 0.4808580279350281, -0.0, 0.0012367673916742206, 0.00010032069985754788]",0.999999995,0.3589846193790436,1.0,0.23175786435604095,1.0,0.8041278719902039,0.8627106547355652,0.4816342890262604,0.0,0.0,0.0,0.0,0.0,0.0,0.9972918033599854,0.000668544031213969,"[[48749, 938], [16901, 6524]]","[[70407, 170], [2066, 469]]","[[73112, 0], [0, 0]]","[[72773, 42], [297, 0]]","[[73055, 8], [49, 0]]"
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.999999995,0.07390501350164413,1.0,0.05363994836807251,1.0,0.1957462579011917,0.9207982420921326,0.06510646641254425,"[0.31519596395776855, 0.05432909150392856, 0.0, 0.0, 0.0]","[0.23953180015087128, 0.028667936101555824, 0.0, 0.0, 0.0]","[0.46073439717292786, 0.5179968476295471, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.25348135828971863, 0.07042446732521057, -0.0, 0.0013617376098409295, 0.0002647751825861633]",0.999999995,0.18476253747940063,1.0,0.13409987092018127,1.0,0.4893656373023987,0.8190310597419739,0.1619529128074646,0.0,0.0,0.0,0.0,0.0,0.0,0.9829645156860352,0.0008132563671097159,"[[54735, 4024], [10915, 3438]]","[[61258, 308], [11215, 331]]","[[73112, 0], [0, 0]]","[[70898, 42], [2172, 0]]","[[72835, 8], [269, 0]]"
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.999999995,0.07576286792755127,1.0,0.04693290591239929,1.0,0.3288795053958893,0.8604743480682373,0.09067394584417343,"[0.3391557539528731, 0.03965857950120285, 0.0, 0.0, 0.0]","[0.21435143053531647, 0.020313097164034843, 0.0, 0.0, 0.0]","[0.8118466734886169, 0.8325508832931519, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.320220947265625, 0.13150285184383392, -0.0, 0.0014483412960544229, 0.0001976199564523995]",0.999999995,0.18940716981887817,1.0,0.11733226478099823,1.0,0.822198748588562,0.6623468399047852,0.22586190700531006,0.0,0.0,0.0,0.0,0.0,0.0,0.9888390302658081,0.0008229806553572416,"[[43446, 1404], [22204, 6058]]","[[46815, 107], [25658, 532]]","[[73112, 0], [0, 0]]","[[71676, 42], [1394, 0]]","[[72916, 8], [188, 0]]"
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.999999995,0.07774759829044342,1.0,0.051187850534915924,1.0,0.24361252784729004,0.8958556652069092,0.060267068445682526,"[0.33101459533368605, 0.03621798614121601, 0.0, 0.02150537694235498, 0.0]","[0.21754519641399384, 0.01878621242940426, 0.0, 0.019607843831181526, 0.0]","[0.691905677318573, 0.5023474097251892, 0.0, 0.02380952425301075, 0.0]","[7462, 639, 0, 42, 8]","[0.2721785604953766, 0.021780436858534813, -0.0, 0.007066818419843912, 0.00030952159431762993]",0.999999995,0.1836162954568863,1.0,0.11816570162773132,1.0,0.5971265435218811,0.740446150302887,0.14697949588298798,0.999999995,0.01075268816202879,1.0,0.009803921915590763,1.0,0.011904762126505375,0.999193012714386,0.0036881701089441776,"[[47080, 2299], [18570, 5163]]","[[55707, 318], [16766, 321]]","[[73112, 0], [0, 0]]","[[73020, 41], [50, 1]]","[[73085, 8], [19, 0]]"
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.999999995,0.02396313287317753,1.0,0.02939494512975216,1.0,0.2205842286348343,0.7428986430168152,0.024998150765895844,"[0.11319004289103958, 0.0050761419973532, 0.0, 0.0015494828380725584, 0.0]","[0.13057439029216766, 0.015625, 0.0, 0.000775342108681798, 0.0]","[0.0998908281326294, 0.0030303029343485832, 0.0, 1.0, 0.0]","[25648, 2310, 0, 77, 0]","[0.11254371702671051, 0.011448550038039684, -0.0, 0.000998488161712885, -0.0]",0.999999995,0.05913309007883072,1.0,0.07309969514608383,1.0,0.05146056413650513,0.918205738067627,0.061996132135391235,0.999999995,0.000774741405621171,1.0,0.000387671054340899,1.0,0.5,0.4390409588813782,0.0004992440808564425,"[[219469, 23086], [17059, 2562]]","[[259425, 2303], [441, 7]]","[[262176, 0], [0, 0]]","[[162865, 0], [99234, 77]]","[[67270, 0], [194906, 0]]"
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.999999995,0.12401304394006729,1.0,0.08473816514015198,1.0,0.3750440180301666,0.912047266960144,0.14169403910636902,"[0.43292655528827023, 0.04533250812760865, 0.0, 0.12030075676223247, 0.0215053767285029]","[0.3170579671859741, 0.02343958616256714, 0.0, 0.0714285746216774, 0.0117647061124444]","[0.6822567582130432, 0.6870109438896179, 0.0, 0.380952388048172, 0.125]","[7462, 639, 0, 42, 8]","[0.40590423345565796, 0.041897546499967575, -0.0, 0.25625118613243103, 0.0044172159396111965]",0.999999995,0.23912954330444336,1.0,0.17024877667427063,1.0,0.6846338510513306,0.7823407649993896,0.22390088438987732,0.999999995,0.07090306282043457,1.0,0.04159663990139961,1.0,0.2529761791229248,0.9977774024009705,0.13033419847488403,"[[54684, 2371], [10966, 5091]]","[[54183, 200], [18290, 439]]","[[73112, 0], [0, 0]]","[[72862, 26], [208, 16]]","[[73020, 7], [84, 1]]"
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.999999995,0.11473281681537628,1.0,0.07256849110126495,1.0,0.4123894274234772,0.8669329285621643,0.15161000192165375,"[0.3764094634658651, 0.03906249895662641, 0.0, 0.1581920872120567, 0.0]","[0.2391454130411148, 0.019993335008621216, 0.0, 0.10370370000600815, 0.0]","[0.8835433125495911, 0.8450704216957092, 0.0, 0.3333333432674408, 0.0]","[7462, 639, 0, 42, 8]","[0.4541950821876526, 0.040626853704452515, -0.0, 0.26204922795295715, 0.0011788548436015844]",0.999999995,0.20773598551750183,1.0,0.1295693814754486,1.0,0.8643068671226501,0.6689120531082153,0.24741096794605255,0.999999995,0.07909604161977768,1.0,0.051851850003004074,1.0,0.1666666716337204,0.998420238494873,0.13161404430866241,"[[44674, 869], [20976, 6593]]","[[46004, 99], [26469, 540]]","[[73112, 0], [0, 0]]","[[72949, 28], [121, 14]]","[[73030, 8], [74, 0]]"
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.999999995,0.11098146438598633,1.0,0.07931322604417801,1.0,0.1849784106016159,0.9544753432273865,0.09682144969701767,"[0.4155792900451301, 0.13932806220079472, 0.0, 0.0, 0.0]","[0.294761061668396, 0.10180505365133286, 0.0, 0.0, 0.0]","[0.704234778881073, 0.22065727412700653, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.3930760324001312, 0.09000629931688309, -0.0, 0.0008393743191845715, 0.00018555880524218082]",0.999999995,0.2774536609649658,1.0,0.19828306138515472,1.0,0.46244603395462036,0.8870089650154114,0.24154116213321686,0.0,0.0,0.0,0.0,0.0,0.0,0.9991793632507324,0.0005124665331095457,"[[53077, 2207], [12573, 5255]]","[[71229, 498], [1244, 141]]","[[73112, 0], [0, 0]]","[[73008, 42], [62, 0]]","[[73096, 8], [8, 0]]"
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.999999995,0.10902174562215805,1.0,0.0750904530286789,1.0,0.20185108482837677,0.9459267854690552,0.0952310860157013,"[0.3876597965015367, 0.15744892772365113, 0.0, 0.0, 0.0]","[0.25995519757270813, 0.11549707502126694, 0.0, 0.0, 0.0]","[0.7619941234588623, 0.24726134538650513, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.37596356868743896, 0.09939266741275787, -0.0, 0.0006423889426514506, 0.00015680209617130458]",0.999999995,0.2725543677806854,1.0,0.18772614002227783,1.0,0.5046277046203613,0.8655897974967957,0.23767811059951782,0.0,0.0,0.0,0.0,0.0,0.0,0.9992272257804871,0.00039959553396329284,"[[49463, 1776], [16187, 5686]]","[[71263, 481], [1210, 158]]","[[73112, 0], [0, 0]]","[[73010, 42], [60, 0]]","[[73101, 8], [3, 0]]"
