id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,precision_per_class,recall_per_class,mAP_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,mouth not visible,feeding,charging,being charged,cturn
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.45709365606307983,0.14684423804283142,0.34894368052482605,0.11788949370384216,0.6623924374580383,0.2047882080078125,0.14815108478069305,0.9499835968017578,"[0.5043138861656189, 0.22990725934505463, 0.0, 0.0, 0.0]","[0.3728475570678711, 0.21659992635250092, 0.0, 0.0, 0.0]","[0.7789843082427979, 0.24495677649974823, 0.0, 0.0, 0.0]","[0.529106080532074, 0.21004846692085266, -0.0, 0.0011494274949654937, 0.00045150224468670785]","[9117, 2429, 0, 54, 20]",0.4617138206958771,0.36711058020591736,0.35315439105033875,0.2947237491607666,0.6666377782821655,0.5119705200195312,0.3695772886276245,0.8772636651992798,0.0,0.0,0.0,0.0,0.0,0.0,0.000800464884378016,0.9976953268051147,"[[52049, 2015], [11946, 7102]]","[[68531, 1834], [2152, 595]]","[[73112, 0], [0, 0]]","[[72813, 54], [245, 0]]","[[73074, 20], [18, 0]]"
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.4324737787246704,0.14652471244335175,0.3117539584636688,0.11662757396697998,0.7057659029960632,0.22302952408790588,0.14596392214298248,0.941120445728302,"[0.46383136510849, 0.2630942761898041, 0.0, 0.005698005668818951, 0.0]","[0.3221771717071533, 0.25759369134902954, 0.0, 0.003367003286257386, 0.0]","[0.8277942538261414, 0.2688349187374115, 0.0, 0.018518518656492233, 0.0]","[0.5039007663726807, 0.2237532138824463, -0.0, 0.0019380477024242282, 0.00022757521946914494]","[9117, 2429, 0, 54, 20]",0.4372633695602417,0.36346280574798584,0.31587058305740356,0.28988543152809143,0.710202693939209,0.5483145713806152,0.3638269901275635,0.8556597828865051,0.004761904943734407,0.0028490028344094753,0.0028901733458042145,0.001683501643128693,0.013513513840734959,0.009259259328246117,0.0010828115046024323,0.9971413612365723,"[[48117, 1570], [15878, 7547]]","[[68801, 1776], [1882, 653]]","[[73112, 0], [0, 0]]","[[72762, 53], [296, 1]]","[[73043, 20], [49, 0]]"
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.2546602189540863,0.09938438981771469,0.18221594393253326,0.07577519118785858,0.42272430658340454,0.173076331615448,0.0792638510465622,0.9173104166984558,"[0.3402346968650818, 0.15578918159008026, 0.0, 0.0008980691782198846, 0.0]","[0.28279802203178406, 0.09561753273010254, 0.0, 0.0004604051646310836, 0.0]","[0.42694857716560364, 0.4202512502670288, 0.0, 0.0181818176060915, 0.0]","[0.28946226835250854, 0.10422316193580627, -0.0, 0.0018126775976270437, 0.0008211430395022035]","[9507, 2627, 0, 55, 27]",0.2715010643005371,0.24801194667816162,0.19935132563114166,0.1892077773809433,0.4254986047744751,0.42359989881515503,0.1968427151441574,0.8105167150497437,0.0007927070837467909,0.0004490345891099423,0.0004096681659575552,0.0002302025823155418,0.012195121496915817,0.00909090880304575,0.0013169103767722845,0.9827593564987183,"[[53311, 5448], [10294, 4059]]","[[60043, 1523], [10442, 1104]]","[[73112, 0], [0, 0]]","[[70886, 54], [2171, 1]]","[[72816, 27], [269, 0]]"
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.2710915803909302,0.10457652807235718,0.1650961935520172,0.06668068468570709,0.7572855353355408,0.30434346199035645,0.09845974296331406,0.8639128804206848,"[0.38783130049705505, 0.1336710900068283, 0.0, 0.0013802621979266405, 0.0]","[0.2591465711593628, 0.07353951781988144, 0.0, 0.0007173601188696921, 0.0]","[0.7703797221183777, 0.7331556677818298, 0.0, 0.0181818176060915, 0.0]","[0.3559606075286865, 0.1337045282125473, -0.0, 0.0019548493437469006, 0.0006787189049646258]","[9507, 2627, 0, 55, 27]",0.2778361737728119,0.2607511878013611,0.1698743849992752,0.16634304821491241,0.7623207569122314,0.7517676949501038,0.2448325753211975,0.6711483597755432,0.0012019231216982007,0.0006901310989633203,0.0006321112741716206,0.00035868005943484604,0.012195121496915817,0.00909090880304575,0.0013167841825634241,0.9886338710784912,"[[42667, 2183], [20938, 7324]]","[[46221, 701], [24264, 1926]]","[[73112, 0], [0, 0]]","[[71664, 54], [1393, 1]]","[[72897, 27], [188, 0]]"
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.27754712104797363,0.102386474609375,0.1782098263502121,0.0692054033279419,0.6271084547042847,0.23511260747909546,0.07975940406322479,0.8962249755859375,"[0.3714459538459778, 0.12143881618976593, 0.0, 0.01904761977493763, 0.0]","[0.2570682168006897, 0.069350965321064, 0.0, 0.019607843831181526, 0.0]","[0.669189453125, 0.48785507678985596, 0.0, 0.018518518656492233, 0.0]","[0.3095966577529907, 0.08044595271348953, -0.0, 0.00776386633515358, 0.0009905557380989194]","[9117, 2429, 0, 54, 20]",0.2782721519470215,0.24644237756729126,0.17849093675613403,0.16320958733558655,0.6310410499572754,0.578522264957428,0.19502130150794983,0.7415335178375244,0.013888888992369175,0.009523809887468815,0.014285714365541935,0.009803921915590763,0.013513513840734959,0.009259259328246117,0.004377210978418589,0.9990288615226746,"[[46363, 3016], [17632, 6101]]","[[54781, 1244], [15902, 1185]]","[[73112, 0], [0, 0]]","[[73008, 53], [50, 1]]","[[73073, 20], [19, 0]]"
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.018735716119408607,0.025105735287070274,0.010655899532139301,0.03900638222694397,0.07749982923269272,0.18405473232269287,0.0382532961666584,0.7323927283287048,"[0.12084118276834488, 0.0027162558399140835, 0.0, 0.00197123596444726, 0.0]","[0.16502726078033447, 0.02901785634458065, 0.0, 0.0009867990156635642, 0.0]","[0.09531939774751663, 0.0014248136430978775, 0.0, 0.8235294222831726, 0.0]","[0.14620408415794373, 0.043821945786476135, -0.0, 0.0012404501903802156, -0.0]","[33970, 9124, 0, 119, 0]",0.10294001549482346,0.0617787204682827,0.16199113428592682,0.09702255576848984,0.07543973624706268,0.04837210476398468,0.09501301497220993,0.8919408917427063,0.0006659056525677443,0.00098561798222363,0.00033308748970739543,0.0004933995078317821,0.8235294222831726,0.4117647111415863,0.0006202250951901078,0.4390409588813782,"[[211823, 30732], [16383, 3238]]","[[252617, 9111], [435, 13]]","[[262176, 0], [0, 0]]","[[162844, 21], [99213, 98]]","[[67270, 0], [194906, 0]]"
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.33470508456230164,0.17886610329151154,0.22595810890197754,0.1271757185459137,0.6452400088310242,0.3783547282218933,0.17947176098823547,0.9137624502182007,"[0.47487300634384155, 0.17082515358924866, 0.0, 0.1433691829442978, 0.10526315867900848]","[0.3784019351005554, 0.09760265052318573, 0.0, 0.0892857164144516, 0.07058823853731155]","[0.63736492395401, 0.6838757991790771, 0.0, 0.3636363744735718, 0.2068965584039688]","[0.4414823651313782, 0.15659508109092712, -0.0, 0.27381598949432373, 0.025465326383709908]","[9533, 2673, 0, 55, 29]",0.3363976776599884,0.3228490948677063,0.22721785306930542,0.23800230026245117,0.6475504040718079,0.6606203317642212,0.29903870820999146,0.7867381572723389,0.1323155164718628,0.12431617081165314,0.08414239436388016,0.07993698120117188,0.3095238208770752,0.2852664589881897,0.14964066445827484,0.9976679682731628,"[[53598, 3457], [9981, 6076]]","[[53538, 845], [16901, 1828]]","[[73112, 0], [0, 0]]","[[72853, 35], [204, 20]]","[[73004, 23], [79, 6]]"
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.31122440099716187,0.1583409309387207,0.19051964581012726,0.10406862199306488,0.8493083715438843,0.40780168771743774,0.1860572099685669,0.8736158013343811,"[0.44137781858444214, 0.15032680332660675, 0.0, 0.20000000298023224, 0.0]","[0.2970002591609955, 0.08260209858417511, 0.0, 0.14074073731899261, 0.0]","[0.8589111566543579, 0.8346427083015442, 0.0, 0.34545454382896423, 0.0]","[0.49860644340515137, 0.1568554937839508, -0.0, 0.26938509941101074, 0.005439029075205326]","[9533, 2673, 0, 55, 29]",0.31202083826065063,0.29585230350494385,0.19090110063552856,0.1898011863231659,0.853596568107605,0.8467769622802734,0.3277309536933899,0.6857834458351135,0.12969283759593964,0.10000000149011612,0.09090909361839294,0.07037036865949631,0.2261904776096344,0.17272727191448212,0.13741207122802734,0.9982560873031616,"[[44198, 1345], [19381, 8188]]","[[45661, 442], [24778, 2231]]","[[73112, 0], [0, 0]]","[[72941, 36], [116, 19]]","[[73009, 29], [74, 0]]"
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.40520337224006653,0.11482259631156921,0.3246901333332062,0.1026020348072052,0.5388123989105225,0.15202534198760986,0.10338085889816284,0.9497182369232178,"[0.4466876983642578, 0.12742526829242706, 0.0, 0.0, 0.0]","[0.33755889534950256, 0.17545126378536224, 0.0, 0.0, 0.0]","[0.6600855588912964, 0.10004116594791412, 0.0, 0.0, 0.0]","[0.4156574010848999, 0.09976784884929657, -0.0, 0.001080265617929399, 0.00039878091774880886]","[9117, 2429, 0, 54, 20]",0.4071003496646881,0.28705647587776184,0.32587310671806335,0.2565050721168518,0.5422657132148743,0.38006335496902466,0.25771263241767883,0.8752803802490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0007395232678391039,0.999015212059021,"[[52185, 3099], [11810, 6018]]","[[69541, 2186], [1142, 243]]","[[73112, 0], [0, 0]]","[[72996, 54], [62, 0]]","[[73084, 20], [8, 0]]"
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.3890734016895294,0.11144961416721344,0.29153794050216675,0.09734542667865753,0.5846815705299377,0.1645634025335312,0.10090214014053345,0.9416347742080688,"[0.42187803983688354, 0.13537003099918365, 0.0, 0.0, 0.0]","[0.29886162281036377, 0.1878654956817627, 0.0, 0.0, 0.0]","[0.7170121669769287, 0.10580486059188843, 0.0, 0.0, 0.0]","[0.397036075592041, 0.1062711551785469, -0.0, 0.0008655150886625051, 0.000337932666298002]","[9117, 2429, 0, 54, 20]",0.3906056880950928,0.278624027967453,0.29232820868492126,0.24336355924606323,0.5884289145469666,0.41140851378440857,0.25165361166000366,0.8550238013267517,0.0,0.0,0.0,0.0,0.0,0.0,0.000601723906584084,0.9990630745887756,"[[48659, 2580], [15336, 6537]]","[[69572, 2172], [1111, 257]]","[[73112, 0], [0, 0]]","[[72998, 54], [60, 0]]","[[73089, 20], [3, 0]]"
