id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,mAP,f1_per_class,precision_per_class,recall_per_class,positive_per_class,ap_per_class,confusion_matrix,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,biting_mAP,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,aggression_mAP
dinov3_base_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_base,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,{'weight_method': 'uniform'},True,fish-benchmark,u48oh2rb,coralcam,test_frames,1000,lkgdklio,0.999999995,0.3091825246810913,1.0,0.21408064663410187,1.0,0.5825346112251282,0.9400144219398499,0.2760285437107086,"[0.588476964043428, 0.3390706059744847, 0.0]","[0.4273204803466797, 0.21492145955562592, 0.0]","[0.9447869062423706, 0.8028169274330139, 0.0]","[7462, 639, 42]","[tensor(0.4620), tensor(0.3643), tensor(0.0018)]","[[[55127, 1997], [10523, 5465]], [[69047, 245], [3426, 394]], [[72648, 42], [422, 0]]]",0.999999995,0.46377378702163696,1.0,0.3211209774017334,1.0,0.8738019466400146,0.9131948351860046,0.4131430983543396,0.0,0.0,0.0,0.0,0.0,0.0,0.9936535954475403,0.0017993937944993377
dinov3_base_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_base,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",True,fish-benchmark,s3gd9fmk,coralcam,test_frames,1000,jf4qccnf,0.999999995,0.2887909710407257,1.0,0.19213108718395233,1.0,0.6183090806007385,0.9172183275222778,0.29515448212623596,"[0.5538499338182338, 0.31252294790207025, 0.0]","[0.3862234652042389, 0.1901697963476181, 0.0]","[0.9785580039024353, 0.876369297504425, 0.0]","[7462, 639, 42]","[tensor(0.4638), tensor(0.4206), tensor(0.0011)]","[[[50698, 1175], [14952, 6287]], [[67340, 177], [5133, 462]], [[72761, 42], [309, 0]]]",0.999999995,0.43318644165992737,1.0,0.2881966233253479,1.0,0.9274636507034302,0.878227949142456,0.4421696662902832,0.0,0.0,0.0,0.0,0.0,0.0,0.9951991438865662,0.0011241603642702103
dinov3_base_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_base,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,{'weight_method': 'uniform'},False,fish-benchmark,3a03vgki,coralcam,test_frames,1000,m69rljgj,0.999999995,0.025878002867102623,1.0,0.031963471323251724,1.0,0.021739130839705467,0.9573333263397217,0.07804328203201294,"[0.0, 0.07763401039739748, 0.0]","[0.0, 0.09589041024446487, 0.0]","[0.0, 0.06521739065647125, 0.0]","[282, 46, 0]","[tensor(0.2003), tensor(0.0339), tensor(-0.)]","[[[3052, 282], [41, 0]], [[3259, 43], [70, 3]], [[3375, 0], [0, 0]]]",0.999999995,0.03881700336933136,1.0,0.04794520512223244,1.0,0.032608695328235626,0.9359999895095825,0.11706492304801941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dinov3_base_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_base,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",False,fish-benchmark,hehchqdb,coralcam,test_frames,1000,nxv8l2vh,0.999999995,0.24144737422466278,1.0,0.1538824886083603,1.0,0.708878755569458,0.823065996170044,0.1651766449213028,"[0.4913301849183326, 0.22805738627178201, 0.004954582961328015]","[0.3294987678527832, 0.12964242696762085, 0.002506265649572015]","[0.9655588269233704, 0.9467918872833252, 0.2142857164144516]","[7462, 639, 42]","[tensor(0.3457), tensor(0.1479), tensor(0.0019)]","[[[46163, 1392], [19487, 6070]], [[49848, 108], [22625, 531]], [[71874, 41], [1196, 1]]]",0.999999995,0.3596937656402588,1.0,0.22957059741020203,1.0,0.9561753273010254,0.7429901957511902,0.2468302696943283,0.999999995,0.004954583011567593,1.0,0.002506265649572015,1.0,0.2142857164144516,0.9832175374031067,0.0018693741876631975
videomae_large_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,videomae_large,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'uniform'},True,fish-benchmark,ksbltu5w,coralcam,test_sliding_window,1000,67ews8uq,0.999999995,0.26082614064216614,1.0,0.16537198424339294,1.0,0.6265025734901428,0.9119433164596558,0.08348999172449112,"[0.4361552915658757, 0.2601161771371951, 0.08620689712424943]","[0.2836413085460663, 0.1598430573940277, 0.05263157933950424]","[0.9434468150138855, 0.6979655623435974, 0.2380952388048172]","[7462, 639, 42]","[tensor(0.2129), tensor(0.0204), tensor(0.0172)]","[[[50390, 3564], [15260, 3898]], [[66755, 495], [5718, 144]], [[73052, 41], [18, 1]]]",0.999999995,0.34813573956489563,1.0,0.221742182970047,1.0,0.8207061886787415,0.8682569265365601,0.11663511395454407,0.999999995,0.08620689809322357,1.0,0.05263157933950424,1.0,0.2380952388048172,0.9993160963058472,0.01719975657761097
videomae_large_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,videomae_large,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",True,fish-benchmark,os215dim,coralcam,test_sliding_window,1000,mupva0eu,0.999999995,0.45038267970085144,1.0,0.390854150056839,1.0,0.6688375473022461,0.9231681227684021,0.20131178200244904,"[0.5320482959143059, 0.4875604711691853, 0.33153929730248033]","[0.37026509642601013, 0.3506844937801361, 0.4516128897666931]","[0.9449209570884705, 0.7996870279312134, 0.261904776096344]","[7462, 639, 42]","[tensor(0.3203), tensor(0.0791), tensor(0.2046)]","[[[51427, 2334], [14223, 5128]], [[66512, 318], [5961, 321]], [[73049, 32], [21, 10]]]",0.999999995,0.509804368019104,1.0,0.3604747951030731,1.0,0.8723039627075195,0.8850803971290588,0.19968871772289276,0.999999995,0.3315393030643463,1.0,0.4516128897666931,1.0,0.261904776096344,0.9993434548377991,0.20455792546272278
videomae_large_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,videomae_large,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'uniform'},False,fish-benchmark,21zmg2tl,coralcam,test_sliding_window,1000,8pzd2ukn,0.999999995,0.24368150532245636,1.0,0.1696062833070755,1.0,0.6156221032142639,0.8922976851463318,0.12682130932807922,"[0.34494697768719224, 0.27057409303791624, 0.11552346586710338]","[0.27300456166267395, 0.17331433296203613, 0.0625]","[0.4683730900287628, 0.6165884137153625, 0.761904776096344]","[7462, 639, 42]","[tensor(0.1937), tensor(0.0268), tensor(0.1599)]","[[[56237, 5073], [9413, 2389]], [[60123, 353], [12350, 286]], [[72687, 25], [383, 17]]]",0.999999995,0.3077605366706848,1.0,0.22315944731235504,1.0,0.5424807667732239,0.8410794138908386,0.11027511954307556,0.999999995,0.11552346497774124,1.0,0.0625,1.0,0.761904776096344,0.9947341084480286,0.15991368889808655
videomae_large_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,videomae_large,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",False,fish-benchmark,78redhy1,coralcam,test_sliding_window,1000,ebtocul1,0.999999995,0.2302045226097107,1.0,0.1409260779619217,1.0,0.7098764777183533,0.7417751550674438,0.14324596524238586,"[0.41163644765696705, 0.21396320038967703, 0.06501395541748828]","[0.2650550901889801, 0.12060975283384323, 0.03711340203881264]","[0.9209327101707458, 0.9467918872833252, 0.261904776096344]","[7462, 639, 42]","[tensor(0.2389), tensor(0.0323), tensor(0.1586)]","[[[38953, 1479], [26697, 5983]], [[37228, 66], [35245, 573]], [[72595, 32], [475, 10]]]",0.999999995,0.3127998113632202,1.0,0.19283242523670197,1.0,0.9338623285293579,0.6160684823989868,0.1355707049369812,0.999999995,0.06501395255327225,1.0,0.03711340203881264,1.0,0.261904776096344,0.9931885600090027,0.1585964858531952
vjepa2_vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,vjepa2_attention,balanced,False,vjepa2,True,adam,32,linear,onehot,,,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'uniform'},True,fish-benchmark,erzk5bf8,coralcam,test_sliding_window,1000,gma7b1bt,0.999999995,0.34292706847190857,1.0,0.23804056644439697,1.0,0.7048801779747009,0.9255799055099487,0.14287813007831573,"[0.5700852225629859, 0.3022264512473356, 0.15646940861051165]","[0.42630088329315186, 0.1982686072587967, 0.08955223858356476]","[0.8602251410484314, 0.635367751121521, 0.6190476417541504]","[7462, 639, 42]","[tensor(0.3533), tensor(0.0306), tensor(0.0448)]","[[[55691, 2950], [9959, 4512]], [[64414, 381], [8059, 258]], [[73006, 39], [64, 3]]]",0.999999995,0.43615585565567017,1.0,0.3122847378253937,1.0,0.7477964162826538,0.8888964653015137,0.1919257491827011,0.999999995,0.1564694046974182,1.0,0.08955223858356476,1.0,0.6190476417541504,0.9989468455314636,0.044782910495996475
vjepa2_vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,vjepa2_attention,balanced,False,vjepa2,True,adam,32,linear,onehot,,,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",True,fish-benchmark,kofq4y91,coralcam,test_sliding_window,1000,26d0jwfi,0.999999995,0.27149608731269836,1.0,0.17814956605434418,1.0,0.6251389980316162,0.8803388476371765,0.11784496903419495,"[0.4935254734594217, 0.26486418507053877, 0.05609859540368573]","[0.3406679332256317, 0.1623671054840088, 0.03141361102461815]","[0.8952023386955261, 0.7183098793029785, 0.261904776096344]","[7462, 639, 42]","[tensor(0.3189), tensor(0.0277), tensor(0.0070)]","[[[49210, 2133], [16440, 5329]], [[59989, 331], [12484, 308]], [[72883, 38], [187, 4]]]",0.999999995,0.37919482588768005,1.0,0.25151753425598145,1.0,0.8067561388015747,0.8219854235649109,0.17328764498233795,0.999999995,0.05609859526157379,1.0,0.03141361102461815,1.0,0.261904776096344,0.997045636177063,0.006959612015634775
