model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,aggregator,batch_size,classifier,weight_decay,learning_rate,sliding_style,weight_config,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,precision_per_class,recall_per_class,mAP_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,mouth not visible,feeding,charging,being charged,cturn,id,label_type,val_subset,train_subset
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,ki4frf65,coralcam,test_sliding_window,1000,yhaany2p,0.1534164845943451,0.058420903980731964,0.10996360331773758,0.05051504448056221,0.25364676117897034,0.1193447858095169,0.05589688941836357,0.9270297884941101,"[0.2276744246482849, 0.06443009525537491, 0.0, 0.0, 0.0]","[0.21716947853565216, 0.03540574014186859, 0.0, 0.0, 0.0]","[0.23924730718135834, 0.3574766218662262, 0.0, 0.0, 0.0]","[0.1875322461128235, 0.034391455352306366, -0.0, 0.05740126594901085, 0.00015948528016451746]","[8184, 1284, 0, 47, 14]",0.15371406078338623,0.1460522562265396,0.10996360331773758,0.12628760933876038,0.2552809417247772,0.29836195707321167,0.11096185445785522,0.8179915547370911,0.0,0.0,0.0,0.0,0.0,0.0,0.0287803765386343,0.999582827091217,"[[57870, 6226], [7058, 1958]]","[[59323, 825], [12505, 459]]","[[73112, 0], [0, 0]]","[[73065, 47], [0, 0]]","[[73098, 14], [0, 0]]",,,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,my6ryax1,coralcam,test_sliding_window,1000,63rak9f7,0.176592618227005,0.07016783952713013,0.13783560693264008,0.05623581260442734,0.2456711083650589,0.18288573622703552,0.07339759171009064,0.9402806758880615,"[0.233011856675148, 0.0637732520699501, 0.0, 0.054054055362939835, 0.0]","[0.21322783827781677, 0.03934426233172417, 0.0, 0.028606964275240898, 0.0]","[0.25684261322021484, 0.1682243049144745, 0.0, 0.4893617033958435, 0.0]","[0.19853787124156952, 0.03422245383262634, -0.0, 0.13387176394462585, 0.00035588114405982196]","[8184, 1284, 0, 47, 14]",0.18681496381759644,0.14839255809783936,0.15102945268154144,0.12628604471683502,0.24482467770576477,0.21253345906734467,0.11638016253709793,0.8619925379753113,0.02710665948688984,0.027027027681469917,0.014058679342269897,0.014303482137620449,0.37704917788505554,0.24468085169792175,0.06711382418870926,0.9887090921401978,"[[57172, 6082], [7756, 2102]]","[[66554, 1068], [5274, 216]]","[[73112, 0], [0, 0]]","[[72284, 24], [781, 23]]","[[72266, 14], [832, 0]]",videomae_balanced_focal_coralcam_sliding_window_w_temp,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,4ppn5r9g,coralcam,test_frames,1000,hrpp4opa,0.5062271356582642,0.15084192156791687,0.4449056088924408,0.16214799880981445,0.5871549844741821,0.16318321228027344,0.1410243660211563,0.9708255529403687,"[0.5342320203781128, 0.21997755765914917, 0.0, 0.0, 0.0]","[0.4497824013233185, 0.36095765233039856, 0.0, 0.0, 0.0]","[0.6577239632606506, 0.15819208323955536, 0.0, 0.0, 0.0]","[0.5287272930145264, 0.17542701959609985, -0.0, 0.0008282207418233156, 0.00013931284775026143]","[8014, 1239, 0, 46, 12]",0.5082035660743713,0.377104789018631,0.4458489716053009,0.4053700268268585,0.5908353924751282,0.4079580307006836,0.3520771563053131,0.9276384115219116,0.0,0.0,0.0,0.0,0.0,0.0,0.0004837667802348733,0.9994255304336548,"[[58650, 2743], [6448, 5271]]","[[71526, 1043], [347, 196]]","[[73112, 0], [0, 0]]","[[73044, 46], [22, 0]]","[[73096, 12], [4, 0]]",,,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,jm0btnvo,coralcam,test_frames,1000,5ioxmnru,0.3412811756134033,0.1086711660027504,0.24012652039527893,0.07727033644914627,0.5896924734115601,0.20083580911159515,0.0799119621515274,0.9406746029853821,"[0.4129709005355835, 0.1262398511171341, 0.0, 0.004145077895373106, 0.0]","[0.30591699481010437, 0.07825601100921631, 0.0, 0.0021786491852253675, 0.0]","[0.635285496711731, 0.32634031772613525, 0.0, 0.042553190141916275, 0.0]","[0.32081693410873413, 0.07563646137714386, -0.0, 0.0028057885356247425, 0.00030062696896493435]","[8179, 1287, 0, 47, 14]",0.3530077338218689,0.2696053683757782,0.251252681016922,0.19208650290966034,0.5932812094688416,0.4808129072189331,0.1982266902923584,0.8592159748077393,0.003619909519329667,0.002072538947686553,0.0019157087663188577,0.0010893245926126838,0.032786883413791656,0.021276595070958138,0.0015532077522948384,0.9924704432487488,"[[53144, 2983], [11789, 5196]]","[[66878, 867], [4947, 420]]","[[73112, 0], [0, 0]]","[[72149, 45], [916, 2]]","[[72972, 14], [126, 0]]",,,,
,100,coralcam,val_mAP,mean,random,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,8q7742l5,coralcam,test_frames,1000,mo4vqmr9,0.3641769289970398,0.12279286980628967,0.418549507856369,0.15275757014751434,0.32230696082115173,0.10382433235645294,0.11931109428405762,0.9713343977928162,"[0.4320681691169739, 0.1818961799144745, 0.0, 0.0, 0.0]","[0.5696486830711365, 0.19413919746875763, 0.0, 0.0, 0.0]","[0.3480159640312195, 0.17110572755336761, 0.0, 0.0, 0.0]","[0.49108636379241943, 0.1048174500465393, -0.0, 0.0005366443074308336, 0.00011503132554935291]","[8014, 1239, 0, 46, 12]",0.39380618929862976,0.306982159614563,0.5011690258979797,0.38189393281936646,0.3243272304534912,0.25956085324287415,0.29795190691947937,0.9368160963058472,0.0,0.0,0.0,0.0,0.0,0.0,0.00032583781285211444,0.9915198683738708,"[[62991, 5225], [2107, 2789]]","[[70993, 1027], [880, 212]]","[[73112, 0], [0, 0]]","[[72477, 46], [589, 0]]","[[72507, 12], [593, 0]]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,4vtyak8i,coralcam,test_frames,1000,tukhwuhk,0.12043119221925735,0.029574239626526833,0.30464422702789307,0.14081725478172302,0.07504985481500626,0.01787663996219635,0.0752200037240982,0.9714301228523254,"[0.1432451456785202, 0.0046260603703558445, 0.0, 0.0, 0.0]","[0.40408626198768616, 0.30000001192092896, 0.0, 0.0, 0.0]","[0.08705220371484756, 0.0023310023825615644, 0.0, 0.0, 0.0]","[0.313963383436203, 0.056807514280080795, -0.0, 0.004749756772071123, 0.0005793798482045531]","[8179, 1287, 0, 47, 14]",0.12724684178829193,0.0739356055855751,0.4034988582134247,0.35204315185546875,0.07553348690271378,0.044691603630781174,0.18538545072078705,0.9329248070716858,0.0,0.0,0.0,0.0,0.0,0.0,0.002664568368345499,0.9956505298614502,"[[63883, 7467], [1050, 712]]","[[71818, 1284], [7, 3]]","[[73112, 0], [0, 0]]","[[72796, 47], [269, 0]]","[[72792, 14], [306, 0]]",,,,
,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,{'weight_method': 'inverse'},fish-benchmark,bzn9b1ne,coralcam,test_sliding_window,1000,08zpdicf,0.04361244663596153,0.013769060373306274,0.026433581486344337,0.06567329913377762,0.12456711381673813,0.1732030212879181,0.05022705718874931,0.8575883507728577,"[0.020997993648052216, 0.047847308218479156, 0.0, 0.0, 0.0]","[0.3037542700767517, 0.02461221255362034, 0.0, 0.0, 0.0]","[0.01087487768381834, 0.855140209197998, 0.0, 0.0, 0.0]","[0.19480325281620026, 0.03325844556093216, -0.0, 0.0228068009018898, 0.0002668002271093428]","[8184, 1284, 0, 47, 14]",0.04366137459874153,0.034422650933265686,0.026433581486344337,0.16418324410915375,0.12536966800689697,0.43300753831863403,0.1140308529138565,0.6443880796432495,0.0,0.0,0.0,0.0,0.0,0.0,0.011536800302565098,0.999582827091217,"[[64724, 8095], [204, 89]]","[[28314, 186], [43514, 1098]]","[[73112, 0], [0, 0]]","[[73065, 47], [0, 0]]","[[73098, 14], [0, 0]]",,,,
,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,n4etorzd,coralcam,test_sliding_window,1000,84wqqalj,0.05183374136686325,0.011962532065808773,0.38074713945388794,0.0782865583896637,0.02780984342098236,0.006476050708442926,0.05751337856054306,0.9734790325164795,"[0.05981266126036644, 0.0, 0.0, 0.0, 0.0]","[0.3914327919483185, 0.0, 0.0, 0.0, 0.0]","[0.032380253076553345, 0.0, 0.0, 0.0, 0.0]","[0.23535388708114624, 0.03918597847223282, -0.0, 0.01286262646317482, 0.00016442536434624344]","[8184, 1284, 0, 47, 14]",0.05214482545852661,0.02990633063018322,0.38074713945388794,0.19571639597415924,0.027989014983177185,0.016190126538276672,0.13726992905139923,0.9341147541999817,0.0,0.0,0.0,0.0,0.0,0.0,0.006513525731861591,0.999582827091217,"[[64516, 7919], [412, 265]]","[[71809, 1284], [19, 0]]","[[73112, 0], [0, 0]]","[[73065, 47], [0, 0]]","[[73098, 14], [0, 0]]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,8p9an3a8,coralcam,test_frames,1000,kugfaexg,0.2617558538913727,0.0584331639111042,0.4950350522994995,0.0990070104598999,0.17791539430618286,0.041447609663009644,0.0942230373620987,0.9738456010818481,"[0.2921658158302307, 0.0, 0.0, 0.0, 0.0]","[0.4950350522994995, 0.0, 0.0, 0.0, 0.0]","[0.20723804831504822, 0.0, 0.0, 0.0, 0.0]","[0.3979855179786682, 0.06966490298509598, -0.0, 0.0032533619087189436, 0.00021142572222743183]","[8179, 1287, 0, 47, 14]",0.26299455761909485,0.14608290791511536,0.4950350522994995,0.24751752614974976,0.1790619045495987,0.10361902415752411,0.2338252067565918,0.9350311756134033,0.0,0.0,0.0,0.0,0.0,0.0,0.001732393866404891,0.999582827091217,"[[63204, 6484], [1729, 1695]]","[[71825, 1287], [0, 0]]","[[73112, 0], [0, 0]]","[[73065, 47], [0, 0]]","[[73098, 14], [0, 0]]",,,,
,100,coralcam,val_mAP,mean,random,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",fish-benchmark,udu2h10c,coralcam,test_frames,1000,nuebvcnl,0.5616209506988525,0.15608227252960205,0.5180078148841858,0.20666411519050598,0.613253116607666,0.16174207627773285,0.15995487570762634,0.9756155014038086,"[0.5940266847610474, 0.1863846629858017, 0.0, 0.0, 0.0]","[0.5187220573425293, 0.514598548412323, 0.0, 0.0, 0.0]","[0.6949089169502258, 0.11380144953727722, 0.0, 0.0, 0.0]","[0.6027499437332153, 0.19618773460388184, -0.0, 0.0006203652592375875, 0.00021632021525874734]","[8014, 1239, 0, 46, 12]",0.5635887980461121,0.3902056813240051,0.5186194181442261,0.5166603326797485,0.6170971393585205,0.40435516834259033,0.3994688391685486,0.9395242929458618,0.0,0.0,0.0,0.0,0.0,0.0,0.0004183427372481674,0.9995144605636597,"[[59931, 2445], [5167, 5569]]","[[71740, 1098], [133, 141]]","[[73112, 0], [0, 0]]","[[73053, 46], [13, 0]]","[[73100, 12], [0, 0]]",,,,
