id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,mAP,f1_per_class,precision_per_class,recall_per_class,positive_per_class,ap_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,biting_mAP,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,aggression_mAP,mouth not visible,feeding,charging,being charged,cturn,aggregator,loss_weighted,weight_method
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.999999995,0.32497599720954895,1.0,0.22425471246242523,1.0,0.6003194451332092,0.937561571598053,0.3152385950088501,"[0.5855070486575243, 0.389420963003556, 0.0]","[0.4175766408443451, 0.2551874816417694, 0.0]","[0.9793621301651001, 0.8215962648391724, 0.0]","[7462, 639, 42]","[tensor(0.5045), tensor(0.4404), tensor(0.0008)]",0.999999995,0.4874640107154846,1.0,0.33638206124305725,1.0,0.9004791975021362,0.9083050489425659,0.4724481701850891,0.0,0.0,0.0,0.0,0.0,0.0,0.9960744976997375,0.0008194337133318186,"[[52799, 1265], [12851, 6197]]","[[70139, 226], [2334, 413]]","[[73112, 0], [0, 0]]","[[72825, 42], [245, 0]]","[[73086, 8], [18, 0]]",,,
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.999999995,0.329174667596817,1.0,0.22334416210651398,1.0,0.6672092080116272,0.9218049049377441,0.32150179147720337,"[0.5344127687017164, 0.446532395740522, 0.006578947221052678]","[0.3672572076320648, 0.29940828680992126, 0.003367003286257386]","[0.9808362126350403, 0.8779342770576477, 0.1428571492433548]","[7462, 639, 42]","[tensor(0.4824), tensor(0.4809), tensor(0.0012)]",0.999999995,0.49047255516052246,1.0,0.33333274722099304,1.0,0.929385244846344,0.8849778175354004,0.4816342890262604,0.999999995,0.00657894741743803,1.0,0.003367003286257386,1.0,0.1428571492433548,0.9954590201377869,0.0012367673916742206,"[[48749, 938], [16901, 6524]]","[[70407, 170], [2066, 469]]","[[73112, 0], [0, 0]]","[[72773, 42], [297, 0]]","[[73055, 8], [49, 0]]",,,
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.999999995,0.23761619627475739,1.0,0.1634698212146759,1.0,0.5112321972846985,0.8909435868263245,0.10842251777648926,"[0.4438487848840693, 0.26808199214251904, 0.0009178522420062886]","[0.323138028383255, 0.1668110191822052, 0.0004604051646310836]","[0.7085232138633728, 0.6823161244392395, 0.1428571492433548]","[7462, 639, 42]","[tensor(0.2535), tensor(0.0704), tensor(0.0014)]",0.999999995,0.35596537590026855,1.0,0.2449745237827301,1.0,0.6954196691513062,0.851508617401123,0.1619529128074646,0.999999995,0.0009178522159345448,1.0,0.0004604051646310836,1.0,0.1428571492433548,0.9698134660720825,0.0013617376098409295,"[[54735, 4024], [10915, 3438]]","[[61258, 308], [11215, 331]]","[[73112, 0], [0, 0]]","[[70898, 42], [2172, 0]]","[[72835, 8], [269, 0]]",,,
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.999999995,0.23011143505573273,1.0,0.14416146278381348,1.0,0.6844727396965027,0.7983322143554688,0.1510573774576187,"[0.45872004188145554, 0.23018675227428523, 0.001427551757172316]","[0.30068644881248474, 0.13108056783676147, 0.0007173601188696921]","[0.9668989777565002, 0.9436619877815247, 0.1428571492433548]","[7462, 639, 42]","[tensor(0.3202), tensor(0.1315), tensor(0.0014)]",0.999999995,0.3444533944129944,1.0,0.2158835083246231,1.0,0.9552804827690125,0.7072710394859314,0.22586190700531006,0.999999995,0.001427551731467247,1.0,0.0007173601188696921,1.0,0.1428571492433548,0.9804546236991882,0.0014483412960544229,"[[43446, 1404], [22204, 6058]]","[[46815, 107], [25658, 532]]","[[73112, 0], [0, 0]]","[[71676, 42], [1394, 0]]","[[72916, 8], [188, 0]]",,,
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.999999995,0.24127338826656342,1.0,0.14983028173446655,1.0,0.7590729594230652,0.8552084565162659,0.10034193843603134,"[0.46105311138612104, 0.22559233937749398, 0.03717472248287085]","[0.30177390575408936, 0.12810908257961273, 0.019607843831181526]","[0.9764138460159302, 0.9436619877815247, 0.3571428656578064]","[7462, 639, 42]","[tensor(0.2722), tensor(0.0218), tensor(0.0071)]",0.999999995,0.3433227241039276,1.0,0.21494150161743164,1.0,0.9600379467010498,0.783339262008667,0.14697949588298798,0.999999995,0.03717472404241562,1.0,0.019607843831181526,1.0,0.3571428656578064,0.9989468455314636,0.007066818419843912,"[[47080, 2299], [18570, 5163]]","[[55707, 318], [16766, 321]]","[[73112, 0], [0, 0]]","[[73020, 41], [50, 1]]","[[73085, 8], [19, 0]]",,,
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.999999995,0.09749937802553177,1.0,0.10598333925008774,1.0,0.45450231432914734,0.8294122815132141,0.04166358336806297,"[0.2590606971812864, 0.030541663173337848, 0.0028957820147821095]","[0.20712502300739288, 0.109375, 0.0014499904355034232]","[0.34575796127319336, 0.017748918384313583, 1.0]","[25648, 2310, 77]","[tensor(0.1125), tensor(0.0114), tensor(0.0010)]",0.999999995,0.14480118453502655,1.0,0.15825000405311584,1.0,0.18175344169139862,0.9332414269447327,0.061996132135391235,0.999999995,0.0028957820031791925,1.0,0.0014499904355034232,1.0,1.0,0.6217541098594666,0.000998488161712885,"[[219469, 23086], [17059, 2562]]","[[259425, 2303], [441, 7]]","[[262176, 0], [0, 0]]","[[162865, 0], [99234, 77]]","[[67270, 0], [194906, 0]]",,,
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.999999995,0.352122038602829,1.0,0.2389441579580307,1.0,0.8112233281135559,0.8819528222084045,0.2346843034029007,"[0.5719783657758482, 0.29805227610603613, 0.18633540591580655]","[0.42959457635879517, 0.18009504675865173, 0.1071428582072258]","[0.8555347323417664, 0.8638497591018677, 0.7142857313156128]","[7462, 639, 42]","[tensor(0.4059), tensor(0.0419), tensor(0.2563)]",0.999999995,0.43501532077789307,1.0,0.30484479665756226,1.0,0.8596922159194946,0.824379026889801,0.22390088438987732,0.999999995,0.18633539974689484,1.0,0.1071428582072258,1.0,0.7142857313156128,0.9971003532409668,0.25625118613243103,"[[54684, 2371], [10966, 5091]]","[[54183, 200], [18290, 439]]","[[73112, 0], [0, 0]]","[[72862, 26], [208, 16]]","[[73020, 7], [84, 1]]",,,
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.999999995,0.35621246695518494,1.0,0.22904352843761444,1.0,0.8728652000427246,0.8117135167121887,0.25229039788246155,"[0.5125384323340834, 0.26198129459744907, 0.29411764084570946]","[0.3499220013618469, 0.15202340483665466, 0.18518517911434174]","[0.9575181007385254, 0.9467918872833252, 0.7142857313156128]","[7462, 639, 42]","[tensor(0.4542), tensor(0.0406), tensor(0.2620)]",0.999999995,0.3872598707675934,1.0,0.2509726881980896,1.0,0.9521549940109253,0.7184046506881714,0.24741096794605255,0.999999995,0.29411762952804565,1.0,0.18518517911434174,1.0,0.7142857313156128,0.9983313083648682,0.26204922795295715,"[[44674, 869], [20976, 6593]]","[[46004, 99], [26469, 540]]","[[73112, 0], [0, 0]]","[[72949, 28], [121, 14]]","[[73030, 8], [74, 0]]",,,
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.999999995,0.28527599573135376,1.0,0.20296461880207062,1.0,0.4837094247341156,0.9418928027153015,0.161307230591774,"[0.5464343391808512, 0.3093936490406985, 0.0]","[0.37929099798202515, 0.2296028882265091, 0.0]","[0.9769498705863953, 0.47417840361595154, 0.0]","[7462, 639, 42]","[tensor(0.3931), tensor(0.0900), tensor(0.0008)]",0.999999995,0.42791399359703064,1.0,0.3044469356536865,1.0,0.7255641222000122,0.9135504364967346,0.24154116213321686,0.0,0.0,0.0,0.0,0.0,0.0,0.9985775351524353,0.0008393743191845715,"[[53077, 2207], [12573, 5255]]","[[71229, 498], [1244, 141]]","[[73112, 0], [0, 0]]","[[73008, 42], [62, 0]]","[[73096, 8], [8, 0]]",,,
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.999999995,0.28585734963417053,1.0,0.20416171848773956,1.0,0.49464669823646545,0.9270480275154114,0.1586662083864212,"[0.5036608812884665, 0.3539112192063532, 0.0]","[0.33836236596107483, 0.27412280440330505, 0.0]","[0.9847226142883301, 0.49921754002571106, 0.0]","[7462, 639, 42]","[tensor(0.3760), tensor(0.0994), tensor(0.0006)]",0.999999995,0.428786039352417,1.0,0.30624258518218994,1.0,0.7419700622558594,0.8912695646286011,0.23767811059951782,0.0,0.0,0.0,0.0,0.0,0.0,0.9986048936843872,0.0006423889426514506,"[[49463, 1776], [16187, 5686]]","[[71263, 481], [1210, 158]]","[[73112, 0], [0, 0]]","[[73010, 42], [60, 0]]","[[73101, 8], [3, 0]]",,,
